Title,Product url,Image url,Total reviews,Rating,Price
Coutura Men's Solar Diamond Dial Watch,amazon.com/SEIKO-Dress-Watch-Model-SNE506/dp/B07GM1HT42/ref=sr_1_25?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-25,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81TPHqUMJoL._AC_UL320_.jpg,(153),4.7,$384.99
Tissot Men's Gentleman Auto Swiss Automatic Dress Watch with Stainless Steel Strap,amazon.com/Tissot-Gentleman-Swiss-Automatic-Stainless/dp/B0921Z5HWJ/ref=sr_1_26?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-26,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/519Pwrl4mLS._AC_UL320_.jpg,(87),4.6,$604.97
Seiko Men's SSC143 Stainless Steel Solar Watch with Link Bracelet,amazon.com/Seiko-SSC143-Stainless-Steel-Bracelet/dp/B00B7FY14S/ref=sr_1_27?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-27,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71QwP9y21dL._AC_UL320_.jpg,(779),4.6,$241.95
SUUNTO Dx Diving Watch with USB,amazon.com/Suunto-Wrist-Computer-Silver-Elastomer/dp/B00SX750NY/ref=sr_1_28?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-28,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61JQy4eT50L._AC_UL320_.jpg,(7),4.4,"$1,349.95"
Orient Stainless Steel Japanese Automatic/Hand Winding Watch with Sapphire Crystal Model: RA-AK00,amazon.com/Stainless-Japanese-Automatic-Winding-Sapphire/dp/B09NZD9W5X/ref=sr_1_29?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-29,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/615pfQueyyL._AC_UL320_.jpg,(95),4.8,$380.97
"Victorinox Swiss Army Alliance Sport Chronograph Watch, Black (SS Bracelet), 44mm, Watch Chronograph, Date Display, Swiss Made",amazon.com/Victorinox-Alliance-Sport-Chronograph-241816/dp/B07H2JMZJF/ref=sr_1_30?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-30,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/7123QnLdjmL._AC_UL320_.jpg,(49),4.7,
Omega Men's 326.30.40.50.03.001 Speed Master Racing Analog Display Swiss Automatic Silver Watch,amazon.com/Omega-326-30-40-50-03-001-Master-Display-Automatic/dp/B00BDXFU8A/ref=sr_1_31?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-31,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91mxexo3LJL._AC_UL320_.jpg,(3),4.8,"$3,805.00"
"Movado Men's BOLD Thin Stainless Steel Watch with a Printed Index Dial, Silver (Model 3600260)",amazon.com/Movado-Stainless-Printed-Silver-3600260/dp/B00OU2AFIG/ref=sr_1_32?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-32,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81d1+4em4yL._AC_UL320_.jpg,(233),4.6,
Skagen Men's Grenen Three-Hand Date Watch with Steel Mesh or Leather Band,amazon.com/Skagen-Mens-Grenen-Automatic-Watch/dp/B0BG1GZGLP/ref=sr_1_33?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-33,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61EHv9Kvp4L._AC_UL320_.jpg,(107),4.4,$225.00
"Bulova Men's Military Heritage Hack Veteran's Watchmaking Initiative Watch in Stainless Steel with 3-Hand Automatic, Black NATO Leather Strap Style: 96A259",amazon.com/Bulova-Military-Special-Automatic-96A259/dp/B08JYLPSCK/ref=sr_1_34?keywords=watches+for+man&qid=1680718606&s=apparel&sprefix=watches+man%2Cfashion-mens-watches%2C2086&sr=1-34,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/714hKCR2BoL._AC_UL320_.jpg,(99),4.7,$247.50
